Year,Number,Sex
1899,2446,Males
1900,1813,Males
1901,2729,Males
1902,3337,Males
1903,3749,Males
1904,2480,Males
1905,3248,Males
1906,4100,Males
1907,4276,Males
1908,3926,Males
1909,2383,Males
1910,4148,Males
1911,3609,Males
1912,3646,Males
1913,6177,Males
1914,6391,Males
1915,1174,Males
1916,474,Males
1917,690,Males
1918,143,Males
1919,157,Males
1920,1915,Males
1921,2783,Males
1922,685,Males
1923,605,Males
1924,801,Males
1925,205,Males
1926,184,Males
1927,302,Males
1928,226,Males
1929,245,Males
1930,249,Males
1931,103,Males
1932,114,Males
1899,1262,Females
1900,1107,Females
1901,1335,Females
1902,1645,Females
1903,1802,Females
1904,1173,Females
1905,1574,Females
1906,1724,Females
1907,1604,Females
1908,1594,Females
1909,1285,Females
1910,2169,Females
1911,1835,Females
1912,1879,Females
1913,3033,Females
1914,2632,Females
1915,593,Females
1916,202,Females
1917,286,Females
1918,67,Females
1919,74,Females
1920,1132,Females
1921,2322,Females
1922,649,Females
1923,601,Females
1924,794,Females
1925,245,Females
1926,304,Females
1927,382,Females
1928,387,Females
1929,387,Females
1930,388,Females
1931,241,Females
1932,170,Females
